国内,#genre#
CCTV13,http://171.117.140.180:8083/rtp/226.0.2.30:8152
CCTV13,http://122.235.87.230:58888/rtp/233.50.201.246:5140
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8?auth_key=1635962688
CCTV13,http://222.137.231.41:808/hls/13/index.m3u8
CCTV14,https://iptv.luas.edu.cn/liverespath/0e0973e58d4835f4b872548164462930003f77b4/0ef01acfdb-0-0-3c10e95bcde07ba14f0f93a8d831b684/index.m3u8
CCTV14,http://121.23.184.27:808/hls/14/index.m3u8
CCTV14,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv14.m3u8
CCTV14,http://125.210.152.19:9123/live/hzgq-cctvsegq-h264.m3u8
CCTV14,http://111.207.22.10:8888/newlive/live/hls/16/live.m3u8
CCTV15,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv15.m3u8
CCTV15,https://iptv.luas.edu.cn/liverespath/59c02d176e7c3b05a62a9bb42be1ca2a92df2e1c/aefabb5259-0-0-65038e86b205c58b18c0c661afd99fae/index.m3u8
CCTV15,http://125.210.152.19:9123/live/hzgq-cctvmusicgq-h264.m3u8
CCTV15,http://101.71.176.182:8888/newlive/live/hls/17/live.m3u8
CCTV15,http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv15.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226921/index.m3u8
CCTV16,http://36.156.208.131/liveali-tpgq.cctv.cn/live/cctv16.m3u8
CCTV16,http://125.210.152.19:9123/live/hzgq-cctv16gq-h264.m3u8
CCTV16,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000002395/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV16,http://222.188.68.38:8888/newlive/live/hls/17/live.m3u8
北京卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8?
北京卫视,http://tljdh.vip:9901/tsfile/live/0122_1.m3u8
北京卫视,http://218.87.145.48:20000/hls/84/index.m3u8
北京卫视,http://111.207.22.10:8888/newlive/live/hls/19/live.m3u8
北京卫视,http://61.140.112.119:808/hls/6/index.m3u8
天津卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001343/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视,http://111.207.22.10:8888/newlive/live/hls/42/live.m3u8
天津卫视,http://36.96.38.246:8888/newlive/live/hls/45/live.m3u8
天津卫视,http://101.71.176.182:8888/newlive/live/hls/41/live.m3u8
河北卫视,http://36.96.38.246:8888/newlive/live/hls/50/live.m3u8
河北卫视,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001039/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
河北卫视,http://110.53.191.212:9901/tsfile/live/0117_1.m3u8
河北卫视,http://111.207.22.10:8888/newlive/live/hls/43/live.m3u8
河北卫视,http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_HEBEI-HQ/G_HEBEI-HQ.m3u8
山西卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226392/index.m3u8
山西卫视,http://zteres.sn.chinamobile.com:6060/000000001000/1000000002000021220/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021220&livemode=1&stbId=3
山西卫视,http://zteres.sn.chinamobile.com:6060/000000001000/5000000006000040023/1.m3u8?channel-id=bestzb&Contentid=5000000006000040023&livemode=1&stbId=3
山西卫视,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001038/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
山西卫视,http://80ec27bff7f9ae80b961481da488e302.livehwc3.cn/liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=d04ce01474da4193c8863ea281ec4759
内蒙古卫视,http://zteres.sn.chinamobile.com:6060/000000001000/1000000002000014080/1.m3u8?channel-id=ystenlive&Contentid=1000000002000014080&livemode=1&stbId=3
内蒙古卫视,http://111.207.22.10:8888/newlive/live/hls/51/live.m3u8
内蒙古卫视,http://36.96.38.246:8888/newlive/live/hls/49/live.m3u8
内蒙古卫视,http://113.195.13.183:9901/tsfile/live/1029_1.m3u8
内蒙古卫视,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001035/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
辽宁卫视,http://111.207.22.10:8888/newlive/live/hls/45/live.m3u8
辽宁卫视,http://36.96.38.246:8888/newlive/live/hls/43/live.m3u8
辽宁卫视,http://101.71.176.182:8888/newlive/live/hls/45/live.m3u8
辽宁卫视,http://113.195.13.183:9901/tsfile/live/1014_1.m3u8
辽宁卫视,http://zteres.sn.chinamobile.com:6060/000000001000/5000000004000011671/1.m3u8?channel-id=bestzb&Contentid=5000000004000011671&livemode=1&stbId=3
吉林卫视,http://61.182.33.218:8000/hls/35/index.m3u8
吉林卫视,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
吉林卫视,http://stream1.jlntv.cn/jlws/sd/live.m3u8
吉林卫视,http://36.96.38.246:8888/newlive/live/hls/35/live.m3u8
吉林卫视,http://222.185.245.194:9901/tsfile/live/0116_1.m3u8
黑龙江卫视,http://36.96.38.246:8888/newlive/live/hls/48/live.m3u8
黑龙江卫视,http://60.220.167.212:8085/rtp/226.0.2.48:8296
黑龙江卫视,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000016510/1.m3u8?channel-id=wasusyt&Contentid=6000000001000016510&livemode=1&stbId=3
黑龙江卫视,http://111.225.93.228:33333/hls/27/index.m3u8
黑龙江卫视,https://iptv.luas.edu.cn/liverespath/fe1745c7599e85d0a34fa0ad3986ef25c2ed7c6f/62f40ca683-0-0-8f0a9a264759754e90aa804bf7e9f8a8/index.m3u8
上海卫视,http://qdxiehou.7766.org:9901/tsfile/live/0107_1.m3u8
上海卫视,http://1.69.115.224:9902/tsfile/live/0108_1.m3u8
上海卫视,http://221.2.146.228:8888/newlive/live/hls/19/live.m3u8
上海卫视,http://61.138.128.226:19901/tsfile/live/0107_1.m3u8
上海卫视,http://115.225.17.82:9901/tsfile/live/0107_1.m3u8
